Geocode,business_id,name,address,city,state,postal_code,latitude,longitude,Score,Income
6037224020,PR0011885,BROADWAY SOCIAL CENTER,2205 N BROADWAY ,LOS ANGELES,CA,90031,34.02859571,-118.2678386,93,29237
6037311600,PR0010894,STARBUCKS COFFEE #5654,347 N PASS AVE ,BURBANK,CA,91505,34.15562602,-118.3459469,98,87601
6037536104,PR0010531,TIERRA MIA COFFEE COMPANY,4914 FIRESTONE BLVD ,SOUTH GATE,CA,90280,33.95143624,-118.1822845,97,73178
6037532002,PR0010232,SUPERIOR GROCERS #106 TORTIL,1201 W WHITTIER BLVD ,MONTEBELLO,CA,90640,34.01093122,-118.1129623,98,49463
6037224700,PR0009829,LOBBY BAR,649 W JEFFERSON BLVD,LOS ANGELES,CA,90007,34.02274121,-118.2814186,98,25155
6037143901,PR0009814,THE COFFEE BEAN & TEA LEAF,12501 VENTURA BLVD ,STUDIO CITY,CA,91604,34.14289219,-118.4054279,92,250783
6037500300,PR0008353,ARENA NACHO AND PIZZA BOOTH,11003 ROOKS RD ,PICO RIVERA,CA,90660,34.0255814,-118.0459556,96,139171
6037701902,PR0008157,VONS STORE #2262-STARBUCKS,710 BROADWAY ,SANTA MONICA,CA,90401,34.01739686,-118.4905143,97,121848
6037430721,PR0008104,BAR 26,285 W HUNTINGTON DR ,ARCADIA,CA,91007,34.13971315,-118.0453042,100,94212
6037536102,PR0008011,FRONT CONCESSION,8630 GARFIELD AVE EAST,SOUTH GATE,CA,90280,33.95253173,-118.1639947,99,68970
6037920102,PR0007360,PILOT TRAVEL CENTER,31642 CASTAIC RD ,CASTAIC,CA,91384,34.49456264,-118.6205295,97,94242
6037552200,PR0007019,COLUMBUS CLUB OF NORWALK,12138 E FRONT ST ,NORWALK,CA,90650,33.90779437,-118.0752382,93,55670
6037265520,PR0006960,CARVEL #3288,11037 SANTA MONICA BLVD ,LOS ANGELES,CA,90025,34.0483276,-118.4428329,91,119579
6037553504,PR0006932,IMPERIAL ALANO CLUB INC,8021 S ROSECRANS AVE,PARAMOUNT,CA,90723,33.90404372,-118.1593887,100,57433
6037310800,PR0006360,GEORGE IZAY PARK STADIUM,1111 W OLIVE AVE ,BURBANK,CA,91506,34.17172507,-118.3186089,95,85850
6037534900,PR0005797,EL COLIMA BAR,1748 E FLORENCE AVE ,LOS ANGELES,CA,90001,33.97452383,-118.241523,95,52915
6037536103,PR0003105,CLUB LIDO,10143 S ATLANTIC AVE ,SOUTH GATE,CA,90280,33.93935157,-118.181953,100,66955
6037267300,PR0002857,LANDMARK NUART THEATRE,11272 SANTA MONICA BLVD ,LOS ANGELES,CA,90025,34.04641456,-118.4479584,97,83925
6037238400,PR0001212,BOTTOM LINE,2066 W MANCHESTER AVE ,LOS ANGELES,CA,90047,33.95980166,-118.3156364,82,64712
6037267700,PR0001209,COCO FRESH TEA & JUICE,11301 W OLYMPIC BLVD STE 105,LOS ANGELES,CA,90064,34.0381855,-118.4418114,95,121259
6037135114,PR0001112,COFFEE BEAN & TEA LEAF,6600 TOPANGA CANYON BLVD UNIT 9220,CANOGA PARK,CA,91303,34.1900772,-118.6042674,97,90080
6037800324,PR0000665,VONS STARBUCKS #2001,5671 KANAN RD ,AGOURA HILLS,CA,91301,34.15339886,-118.757543,100,181618
6037800331,PR0000335,4 SEASONS HOTEL-THE BAR,2 DOLE DR,WESTLAKE VILLAGE,CA,91362,34.15136847,-118.8045058,100,165070
6037651101,PR0000278,COCOHODO TORRANCE,2734 SEPULVEDA BLVD ,TORRANCE,CA,90505,33.82248757,-118.3331782,92,113855
6037530400,PR0013890,ELA STADIUM STAND #1,1301 AVENIDA CESAR CHAVEZ ,MONTEREY PARK,CA,91754,34.0394676,-118.1485828,100,48835
6037401312,PR0015257,STARBUCKS COFFEE # 5317,942 W ARROW HWY,SAN DIMAS,CA,91773,34.10653305,-117.8255458,98,78886
6037910711,PR0015223,STARBUCKS,38019 E 47TH ST E ,PALMDALE,CA,93552,34.57320674,-118.0451661,92,67923
6037900806,PR0014880,SNACK SHACK,44812 N SIERRA HWY ,LANCASTER,CA,93534,34.69683056,-118.1365262,99,27287
6037540101,PR0014836,STARBUCKS #6580,10925 ATLANTIC AVE ,LYNWOOD,CA,90262,33.93134343,-118.1836875,99,88858
6037480201,PR0014834,BASKIN ROBBINS,613 W LAS TUNAS DR ,SAN GABRIEL,CA,91776,34.10255495,-118.1089775,95,129534
6037137104,PR0014295,STARBUCKS COFFEE #9384,5960 CANOGA AVE STE 1,WOODLAND HILLS,CA,91367,34.17881539,-118.5972058,98,127666
6037700802,PR0014280,IRIS CAFE,150 N ROBERTSON BLVD STE #320,BEVERLY HILLS,CA,90211,34.06822713,-118.3837088,92,125554
6037267901,PR0014269,STARBUCKS COFFEE CO #9232,1875 CENTURY PARK E STE #K,LOS ANGELES,CA,90067,34.06171078,-118.4148018,94,246237
6037141304,PR0013036,COLD STONE CREAMERY #27,14622 VENTURA BLVD STE 119,SHERMAN OAKS,CA,91403,34.15125277,-118.4517694,83,121825
6037191000,PR0013020,ACADEMY LA - MAIN BAR & STORAGE,6021 HOLLYWOOD BLVD ,LOS ANGELES,CA,90028,34.10181089,-118.3208009,91,72362
6037430721,PR0011704,BAR 34,285 W HUNTINGTON DR ,ARCADIA,CA,91007,34.13971315,-118.0453042,100,94212
6037910208,PR0009740,CINNABON,1233 W RANCHO VISTA BLVD STE #753,PALMDALE,CA,93551,34.60187948,-118.1526117,93,80222
6037302301,PR0009725,HAAGEN DAZS,1113 GLENDALE GALLERIA ,GLENDALE,CA,91210,34.14559913,-118.2587059,93,96588
6037920035,PR0013800,EDWARDS THEATERS,18800 SOLEDAD CANYON RD ,CANYON COUNTRY,CA,91351,34.41572655,-118.4632105,100,92599
6037464200,PR0013763,STARBUCKS COFFEE #610,2265 HUNTINGTON DR ,SAN MARINO,CA,91108,34.12236721,-118.1055141,99,175988
6037143800,PR0013027,THE COFFEE BEAN & TEA LEAF,12050 VENTURA BLVD STE #C104,STUDIO CITY,CA,91604,34.14360351,-118.3945973,95,187669
6037301205,PR0011592,VAQUERO L'TL LEAGUE SNACK BA,501 S PACIFIC AVE ,GLENDALE,CA,91204,34.1645253,-118.2655403,100,126805
6037183222,PR0011060,EAGLE'S LODGE,1596 YOSEMITE DR ,LOS ANGELES,CA,90041,34.13279503,-118.2015578,97,113641
6037481402,PR0008724,BOBA CORNER,1635 S SAN GABRIEL BLVD ,SAN GABRIEL,CA,91776,34.07889756,-118.0920281,92,70790
6037543801,PR0008533,AJ SPORTS CLUB,21042 S MAIN ST,CARSON,CA,90745,33.83787016,-118.2792403,97,82495
6037124201,PR0007896,SLUSHEELAND,6005 VINELAND AVE STE #105,NORTH HOLLYWOOD,CA,91606,34.17962084,-118.370332,98,61714
6037400602,PR0006216,MARIA'S CANTINA,738 N AZUSA AVE ,AZUSA,CA,91702,34.13505235,-117.9071928,90,73385
6037212502,PR0011022,FOOD COURT TRAY WASHING AREA,928 S WESTERN AVE STE 300,LOS ANGELES,CA,90006,34.05484717,-118.30886,96,60166
6037701502,PR0002775,EDIBLE ARRANGEMENTS,1324 WILSHIRE BLVD,SANTA MONICA,CA,90403,34.0263604,-118.4891808,99,98938
6037620601,PR0016607,STARBUCKS COFFEE #5630,1815 HAWTHORNE BLVD STE #144,REDONDO BEACH,CA,90278,33.87126024,-118.352743,95,111927
6037207502,PR0016633,BORDER GRILL DOWNTOWN LA BAR,445 S FIGUEROA ST STE 100,LOS ANGELES,CA,90071,34.05295209,-118.2567518,94,70271
6037703001,PR0016645,MARIN STEAK AND SPIRITS BAR,5990 GREEN VALLEY CIR ,CULVER CITY,CA,90230,33.98314116,-118.3935777,91,112234
6037111400,PR0016657,BASKIN ROBBINS #36,10226 BALBOA BLVD ,GRANADA HILLS,CA,91344,34.25634315,-118.5021178,99,90303
6037214501,PR0016658,TEA STORE,6333 W 3RD ST STE #212,LOS ANGELES,CA,90036,34.07134742,-118.3598154,97,112810
6037702102,PR0016673,STARBUCKS COFFEE CO,3020 LINCOLN BLVD ,SANTA MONICA,CA,90405,34.00353368,-118.4721888,94,114465
6037103102,PR0016952,THE RATTLER,7803 FOOTHILL BLVD ,SUNLAND,CA,91040,34.25947013,-118.3028917,90,80641
6037543321,PR0016963,STUB HUB CENTER LA TAQUERIA  #13,18400 AVALON BLVD STE 300,CARSON,CA,90746-2182,33.86601413,-118.2647396,99,95295
6037128500,PR0017013,STARBUCKS COFFEE #6630,14431 BURBANK BLVD ,VAN NUYS,CA,91401,34.17234637,-118.4476158,98,80161
6037800204,PR0017023,STARBUCKS CORPORATION,4776 COMMONS WAY STE F,CALABASAS,CA,91302,34.15515784,-118.6429498,95,225178
6037137502,PR0017057,RALPHS #81 COFFEE BEAN & TEA LEAF,21909 VENTURA BLVD ,WOODLAND HILLS,CA,91364,34.16865475,-118.6042669,98,127938
6037651101,PR0017118,STARBUCKS COFFEE #524,24427 CRENSHAW BLVD # 3F,TORRANCE,CA,90505,33.8035808,-118.3279989,95,113855
